Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.0,1.0,0.0,0.0,38,Tue Jun 05 18:30:19 +0000 2018,Parkland teenager David Hogg 'swatted' in prank call https://t.co/ZidQnFGY63
BBC,0.223,0.777,0.0,-0.6486,39,Tue Jun 05 17:52:40 +0000 2018,"Tributes paid as fashion designer Kate Spade is found dead in her New York apartment
https://t.co/HLXmsvUF6s"
BBC,0.19,0.81,0.0,-0.6908,40,Tue Jun 05 16:52:45 +0000 2018,RT @bbcworldservice: Do asylum seekers from the Middle East and Africa need classes to understand European 'cultural codes' around rape and…
BBC,0.417,0.583,0.0,-0.6486,41,Tue Jun 05 16:20:35 +0000 2018,Fashion designer Kate Spade found dead https://t.co/anKDpXuPoj
BBC,0.0,0.442,0.558,0.743,42,Tue Jun 05 16:05:15 +0000 2018,'Beauty iceberg' thrills Newfoundland and Labrador https://t.co/rDNnClfa9o
BBC,0.0,1.0,0.0,0.0,43,Tue Jun 05 15:01:51 +0000 2018,RT @BBCAfrica: An earthquake is coming. #BBCAfricaEye is about to bring you the inside story about @anasglobal's explosive investigation in…
BBC,0.386,0.614,0.0,-0.6597,44,Tue Jun 05 14:44:17 +0000 2018,Guatemala's Fuego volcano: How the tragedy unfolded https://t.co/EGvkLR8nfd
BBC,0.226,0.774,0.0,-0.5423,45,Tue Jun 05 14:43:49 +0000 2018,"Crocodile kills pastor conducting baptism ceremony near lake in southern Ethiopia

https://t.co/GcfmZGSvma https://t.co/VMIidPqr2g"
BBC,0.074,0.805,0.121,0.3612,46,Tue Jun 05 14:20:43 +0000 2018,"RT @BBCSport: Everyone's been loving Nigeria's kit 🔥

Here are the rest of the home shirts each team will be wearing in Russia.

👉 https://…"
BBC,0.0,0.497,0.503,0.7244,47,Tue Jun 05 14:14:11 +0000 2018,Weinstein pleads not guilty to rape charge https://t.co/5AaHFpnem8
BBC,0.165,0.562,0.272,0.2607,48,Tue Jun 05 13:58:41 +0000 2018,Harvey Weinstein arrives at Manhattan Supreme Court where he's expected to plead not guilty to charges of rape and… https://t.co/87t77LrLX3
BBC,0.0,1.0,0.0,0.0,49,Tue Jun 05 12:58:54 +0000 2018,Ben Lecomte's bid to be the first to swim the Pacific Ocean https://t.co/JXkflWOYk2
BBC,0.333,0.667,0.0,-0.5423,50,Tue Jun 05 12:42:41 +0000 2018,Crocodile kills Ethiopian pastor during lake baptism https://t.co/K6seIFU0KL
BBC,0.0,1.0,0.0,0.0,51,Tue Jun 05 12:37:53 +0000 2018,Police officer pulls king cobra from minivan in China https://t.co/fhKn3uNWt9
BBC,0.0,1.0,0.0,0.0,52,Tue Jun 05 12:30:57 +0000 2018,Qatar boss: 'Only men can run airlines' https://t.co/RBmiywq59c
BBC,0.18,0.82,0.0,-0.296,53,Tue Jun 05 12:26:25 +0000 2018,World Cup 2018: Fifa files complaint against ticket website Viagogo https://t.co/uoD01fCLqi
BBC,0.246,0.492,0.262,0.0516,54,Tue Jun 05 12:16:59 +0000 2018,India policewoman praised for breastfeeding abandoned baby https://t.co/qrejx6FA9X
BBC,0.0,1.0,0.0,0.0,55,Tue Jun 05 11:58:42 +0000 2018,Wreck-It Ralph 2: Disney princesses unite over feminism https://t.co/iu0AQgYTch
BBC,0.0,1.0,0.0,0.0,56,Tue Jun 05 11:28:09 +0000 2018,Dutch PM Mark Rutte cleans up parliament coffee spill https://t.co/3PQ2Fad55M
